hue_a	hue_b	value	chroma	nice_name	munsell_name	sortable_name	n_r	n_g	n_b	s_r	s_g	s_b	hexval
5	Y	5	6	Olive	5Y 5/6	05Y5/6	0.5569	0.4706	0.1725	142	120	44	8E782C
5	Y	6	1	Gray	5Y 6/1	05Y6/1	0.5961	0.5765	0.5255	152	147	134	989386
5	Y	6	2	Light Olive Gray	5Y 6/2	05Y6/2	0.6078	0.5765	0.4745	155	147	121	9B9379
5	Y	6	3	Pale Olive	5Y 6/3	05Y6/3	0.6235	0.5765	0.4275	159	147	109	9F936D
5	Y	6	4	Pale Olive	5Y 6/4	05Y6/4	0.6353	0.5765	0.3804	162	147	97	A29361
5	Y	6	6	Olive Yellow	5Y 6/6	05Y6/6	0.6588	0.5725	0.2706	168	146	69	A89245
5	Y	6	8	Olive Yellow	5Y 6/8	05Y6/8	0.6784	0.5686	0.1412	173	145	36	AD9124
5	Y	7	1	Light Gray	5Y 7/1	05Y7/1	0.698	0.6784	0.6275	178	173	160	B2ADA0
5	Y	7	2	Light Gray	5Y 7/2	05Y7/2	0.7137	0.6784	0.5725	182	173	146	B6AD92
5	Y	7	3	Pale Yellow	5Y 7/3	05Y7/3	0.7255	0.6784	0.5216	185	173	133	B9AD85
5	Y	7	4	Pale Yellow	5Y 7/4	05Y7/4	0.7373	0.6784	0.4706	188	173	120	BCAD78
5	Y	7	6	Yellow	5Y 7/6	05Y7/6	0.7608	0.6784	0.3686	194	173	94	C2AD5E
5	Y	7	8	Yellow	5Y 7/8	05Y7/8	0.7804	0.6745	0.2549	199	172	65	C7AC41
5	Y	8	1	White	5Y 8/1	05Y8/1	0.8	0.7843	0.7255	204	200	185	CCC8B9
5	Y	8	2	Pale Yellow	5Y 8/2	05Y8/2	0.8157	0.7843	0.6706	208	200	171	D0C8AB
5	Y	8	3	Pale Yellow	5Y 8/3	05Y8/3	0.8275	0.7843	0.6196	211	200	158	D3C89E
5	Y	8	4	Pale Yellow	5Y 8/4	05Y8/4	0.8392	0.7843	0.5686	214	200	145	D6C891
5	Y	8	6	Yellow	5Y 8/6	05Y8/6	0.8627	0.7843	0.4627	220	200	118	DCC876
5	Y	8	8	Yellow	5Y 8/8	05Y8/8	0.8863	0.7804	0.349	226	199	89	E2C759
5	YR	2.5	1	Black	5YR 2.5/1	05YR2.5/1	0.2706	0.2275	0.2078	69	58	53	453A35
5	YR	2.5	2	Dark Reddish Brown	5YR 2.5/2	05YR2.5/2	0.298	0.2196	0.1804	76	56	46	4C382E
5	YR	3	1	Very Dark Gray	5YR 3/1	05YR3/1	0.3176	0.2706	0.251	81	69	64	514540
5	YR	3	2	Dark Reddish Brown	5YR 3/2	05YR3/2	0.3451	0.2627	0.2196	88	67	56	584338
5	YR	3	3	Dark Reddish Brown	5YR 3/3	05YR3/3	0.3686	0.2549	0.1961	94	65	50	5E4132
5	YR	3	4	Dark Reddish Brown	5YR 3/4	05YR3/4	0.3882	0.2471	0.1647	99	63	42	633F2A
5	YR	4	1	Dark Gray	5YR 4/1	05YR4/1	0.4157	0.3686	0.3451	106	94	88	6A5E58
5	YR	4	2	Dark Reddish Gray	5YR 4/2	05YR4/2	0.4431	0.3608	0.3098	113	92	79	715C4F
5	YR	4	3	Reddish Brown	5YR 4/3	05YR4/3	0.4745	0.349	0.2784	121	89	71	795947
5	YR	4	4	Reddish Brown	5YR 4/4	05YR4/4	0.498	0.3412	0.2471	127	87	63	7F573F
5	YR	4	6	Yellowish Red	5YR 4/6	05YR4/6	0.5333	0.3255	0.1843	136	83	47	88532F
5	YR	5	1	Gray	5YR 5/1	05YR5/1	0.5137	0.4667	0.4431	131	119	113	837771
5	YR	5	2	Reddish Gray	5YR 5/2	05YR5/2	0.5412	0.4588	0.4118	138	117	105	8A7569
5	YR	5	3	Reddish Brown	5YR 5/3	05YR5/3	0.5725	0.451	0.3804	146	115	97	927361
5	YR	5	4	Reddish Brown	5YR 5/4	05YR5/4	0.5961	0.4431	0.3451	152	113	88	987158
5	YR	5	6	Yellowish Red	5YR 5/6	05YR5/6	0.6431	0.4275	0.2745	164	109	70	A46D46
5	YR	5	8	Yellowish Red	5YR 5/8	05YR5/8	0.6824	0.4118	0.1922	174	105	49	AE6931
5	YR	6	1	Gray	5YR 6/1	05YR6/1	0.6157	0.5686	0.5451	157	145	139	9D918B
5	YR	6	2	Pinkish Gray	5YR 6/2	05YR6/2	0.6471	0.5608	0.5098	165	143	130	A58F82
5	YR	6	3	Light Reddish Brown	5YR 6/3	05YR6/3	0.6745	0.5529	0.4784	172	141	122	AC8D7A
5	YR	6	4	Light Reddish Brown	5YR 6/4	05YR6/4	0.702	0.5451	0.4431	179	139	113	B38B71
5	YR	6	6	Reddish Yellow	5YR 6/6	05YR6/6	0.7529	0.5294	0.3686	192	135	94	C0875E
5	YR	6	8	Reddish Yellow	5YR 6/8	05YR6/8	0.7922	0.5137	0.2941	202	131	75	CA834B
5	YR	7	1	Light Gray	5YR 7/1	05YR7/1	0.7176	0.6706	0.6471	183	171	165	B7ABA5
5	YR	7	2	Pinkish Gray	5YR 7/2	05YR7/2	0.749	0.6627	0.6118	191	169	156	BFA99C
5	YR	7	3	Pink	5YR 7/3	05YR7/3	0.7804	0.6549	0.5765	199	167	147	C7A793
5	YR	7	4	Pink	5YR 7/4	05YR7/4	0.8078	0.6471	0.5412	206	165	138	CEA58A
5	YR	7	6	Reddish Yellow	5YR 7/6	05YR7/6	0.8588	0.6314	0.4667	219	161	119	DBA177
5	YR	7	8	Reddish Yellow	5YR 7/8	05YR7/8	0.902	0.6157	0.3922	230	157	100	E69D64
5	YR	8	1	White	5YR 8/1	05YR8/1	0.8196	0.7765	0.749	209	198	191	D1C6BF
5	YR	8	2	Pinkish White	5YR 8/2	05YR8/2	0.851	0.7686	0.7137	217	196	182	D9C4B6
5	YR	8	3	Pink	5YR 8/3	05YR8/3	0.8824	0.7608	0.6745	225	194	172	E1C2AC
5	YR	8	4	Pink	5YR 8/4	05YR8/4	0.9137	0.7529	0.6353	233	192	162	E9C0A2
7.5	R	2.5	1	Reddish Black	7.5R 2.5/1	07.5R2.5/1	0.2745	0.2235	0.2196	70	57	56	463938
7.5	R	2.5	2	Very Dusky Red	7.5R 2.5/2	07.5R2.5/2	0.3059	0.2118	0.2078	78	54	53	4E3635
7.5	R	2.5	3	Very Dusky Red	7.5R 2.5/3	07.5R2.5/3	0.3333	0.2	0.1961	85	51	50	553332
7.5	R	2.5	4	Very Dusky Red	7.5R 2.5/4	07.5R2.5/4	0.3569	0.1843	0.1804	91	47	46	5B2F2E
7.5	R	3	1	Dark Reddish Gray	7.5R 3/1	07.5R3/1	0.3216	0.2667	0.2627	82	68	67	524443
7.5	R	3	2	Dusky Red	7.5R 3/2	07.5R3/2	0.3569	0.2549	0.2471	91	65	63	5B413F
7.5	R	3	3	Dusky Red	7.5R 3/3	07.5R3/3	0.3843	0.2431	0.2314	98	62	59	623E3B
7.5	R	3	4	Dusky Red	7.5R 3/4	07.5R3/4	0.4118	0.2314	0.2157	105	59	55	693B37
7.5	R	3	6	Dark Red	7.5R 3/6	07.5R3/6	0.4549	0.2039	0.1843	116	52	47	74342F
7.5	R	3	8	Dark Red	7.5R 3/8	07.5R3/8	0.498	0.1647	0.1529	127	42	39	7F2A27
7.5	R	4	1	Dark Reddish Gray	7.5R 4/1	07.5R4/1	0.4157	0.3647	0.3608	106	93	92	6A5D5C
7.5	R	4	2	Weak Red	7.5R 4/2	07.5R4/2	0.451	0.3529	0.3451	115	90	88	735A58
7.5	R	4	3	Weak Red	7.5R 4/3	07.5R4/3	0.4824	0.3412	0.3255	123	87	83	7B5753
7.5	R	4	4	Weak Red	7.5R 4/4	07.5R4/4	0.5098	0.3294	0.3098	130	84	79	82544F
7.5	R	4	6	Red	7.5R 4/6	07.5R4/6	0.5608	0.302	0.2745	143	77	70	8F4D46
7.5	R	4	8	Red	7.5R 4/8	07.5R4/8	0.6078	0.2745	0.2392	155	70	61	9B463D
7.5	R	5	1	Reddish Gray	7.5R 5/1	07.5R5/1	0.5098	0.4667	0.4588	130	119	117	827775
7.5	R	5	2	Weak Red	7.5R 5/2	07.5R5/2	0.5451	0.4588	0.4431	139	117	113	8B7571
7.5	R	5	3	Weak Red	7.5R 5/3	07.5R5/3	0.5765	0.4431	0.4275	147	113	109	93716D
7.5	R	5	4	Weak Red	7.5R 5/4	07.5R5/4	0.6078	0.4314	0.4078	155	110	104	9B6E68
7.5	R	5	6	Red	7.5R 5/6	07.5R5/6	0.6667	0.4078	0.3686	170	104	94	AA685E
7.5	R	5	8	Red	7.5R 5/8	07.5R5/8	0.7176	0.3804	0.3294	183	97	84	B76154
7.5	R	6	1	Reddish Gray	7.5R 6/1	07.5R6/1	0.6118	0.5686	0.5608	156	145	143	9C918F
7.5	R	6	2	Pale Red	7.5R 6/2	07.5R6/2	0.6471	0.5569	0.5451	165	142	139	A58E8B
7.5	R	6	3	Pale Red	7.5R 6/3	07.5R6/3	0.6784	0.549	0.5255	173	140	134	AD8C86
7.5	R	6	4	Pale Red	7.5R 6/4	07.5R6/4	0.7098	0.5373	0.5059	181	137	129	B58981
7.5	R	6	6	Light Red	7.5R 6/6	07.5R6/6	0.7686	0.5137	0.4706	196	131	120	C48378
7.5	R	6	8	Light Red	7.5R 6/8	07.5R6/8	0.8235	0.4863	0.4314	210	124	110	D27C6E
7.5	R	7	1	Pinkish Gray	7.5R 7/1	07.5R7/1	0.7137	0.6706	0.6627	182	171	169	B6ABA9
7.5	R	7	2	Pale Red	7.5R 7/2	07.5R7/2	0.7451	0.6627	0.6471	190	169	165	BEA9A5
7.5	R	7	3	Pale Red	7.5R 7/3	07.5R7/3	0.7843	0.651	0.6275	200	166	160	C8A6A0
